,jobs,firms,salary,nums0
,世界500强 大和事务处理中心 日语类职位,大连智科咨询顾问有限公司,97元/天,若干
,世界500强 大和事务处理中心 结构/装配设计,大连智科咨询顾问有限公司,97元/天,若干
,世界500强  CAD制图,大连智科咨询顾问有限公司,97元/天,若干
,信息技术类管培生-开发工程师,浙江物产电子商务有限公司,8-10万/年,若干
,Java软件工程师,北京利众得应用技术有限公司上海分公司,7-9.9千/月,若干
,Java高级软件工程师,成都聚拓信息技术有限公司,7-9.9千/月,若干
,嵌入式开发工程师(C语言 中级),AW（杭州）信息技术有限公司,7-10万/年,若干
,嵌入式开发工程师(中级 欧美),AW（杭州）信息技术有限公司,7-10万/年,若干
,软件测试(SE),AW（杭州）信息技术有限公司,7-10万/年,若干
,对日需求工程师,成都维纳软件股份有限公司,6-9千/月,若干
,java开发工程师（初级，日语N3以上）,武汉软帝联合科技有限公司,6-8千/月,若干
,Java高级开发工程师,南通纽康数研网络技术有限公司,6-8千/月,若干
,Java开发,迈思腾科技（武汉）有限公司,6-8千/月,若干
,对日Java软件工程师,大连隆基信息技术有限公司,6-8千/月,若干
,Java开发工程师,大连瑞诺科技有限公司,6-8千/月,若干
,Java开发工程师,恩梯梯数据（中国）信息技术有限公司长春分公司,6-8千/月,若干
,对日Java开发工程师,智捷融汇（大连）科技有限公司,6-8千/月,若干
,Java开发工程师,大连澳乐科技有限公司,6-8千/月,若干
,JAVA对日开发软件工程师（工作地点：开发区）,大连创盛科技有限公司,6-8千/月,若干
,Java开发工程师,大连微禾科技有限公司,6-8千/月,若干
,对日软件开发工程师,共兴达信息技术（沈阳）有限公司,6-8千/月,若干
,MES（SE),大连隆基信息技术有限公司,6-8千/月,若干
,系统开发-大连到新园区,大连瑞林咨询有限公司,6-8千/月,若干
,软件工程师,大连瑞林咨询有限公司,6-8千/月,若干
,软件工程师,无锡德望科荣科技系统有限公司,6-8千/月,若干
,开发五部―高级软件工程师,西安凌安电脑有限公司,6-8千/月,若干
,Perl/Python开发工程师,天津恩梯梯数据有限公司,6-8千/月,若干
,日本留学咨询顾问,上海和歌网络科技有限公司,6-8千/月,若干
,对日Java开发工程师,智捷融汇（大连）科技有限公司,6-8千/月,若干
,对日软件开发工程师,共兴达信息技术（沈阳）有限公司,6-8千/月,若干
,日式美发沙龙诚征发型师,Resort Tokyo Hair Salons,6-8千/月,若干
,日语翻译及跟单,汉世（杭州）品牌管理有限公司,6-8千/月,若干
,宠物用品销售,真萌健身管理（上海）有限公司,6-8千/月,若干
,广报担当,捷太格特（中国）投资有限公司,6-8千/月,若干
,C/.NET语言软件工程师,讯和创新科技（北京）有限公司,6-8千/月,若干
,对日建筑BIM制图员,大连�]洋设计有限公司,6-8千/月,若干
,区域销售总监/销售总监,上海网云信息咨询有限公司,6-8千/月,若干
,销售工程师,纪州喷码技术（上海）有限公司,6-8千/月,若干
,汽车座椅设计工程师（浙江嘉兴）,广州泽盛机电设备有限公司,6-8千/月,若干
,软件工程师,无锡德望科荣科技系统有限公司,6-8千/月,若干
,设备工程师 日语,阿迩贝司机电技术（上海）有限公司,6-8千/月,若干
,系统集成工程师,天津恩梯梯数据有限公司,5-9千/月,若干
,2019年度应届生招聘,SMC（中国）有限公司,5-8千/月,若干
,Java软件工程师(职位编号：01),通华科技（大连）有限公司,5-8千/月,若干
,自动化测试工程师（日语必备）,成都联客信息技术有限公司,5-8千/月,若干
,对日软件开发Java工程师（急聘）,大连博石世纪科技有限公司,5-8千/月,若干
,日语营业担当（赴日）,大连铃木研磨贸易有限公司,5-8千/月,若干
,销售工程师,纪州喷码技术（上海）有限公司,5-8千/月,若干
,日式美容咨询顾问（会日语优先有经验优先）(职位编号：NC180725),上海恒封密封制品有限公司,5-8千/月,若干
,销售业务助理-上海,兰州三毛实业股份有限公司,5-8千/月,若干
,日籍日语老师***全职,杭州鑫雅教育咨询有限公司,5-8千/月,若干
,业务助理兼日语翻译 有总务/财务经验优先(职位编号：?LC180108),上海恒封密封制品有限公司,5-8千/月,若干
,美容咨询顾问  8K（会日语）(职位编号：NC180725),上海恒封密封制品有限公司,5-8千/月,若干
,美容咨询顾问  8K(职位编号：NC180725),上海恒封密封制品有限公司,5-8千/月,若干
,无印良品餐厅服务员（MUJI Diner淮海755店）,无印良品（上海）商业有限公司,5-8千/月,若干
,无印良品餐厅服务员（中山公园龙之梦）,无印良品（上海）商业有限公司,5-8千/月,若干
,无印良品餐厅服务员（MUJI Diner淮海755店）,无印良品（上海）商业有限公司,5-8千/月,若干
,无印良品餐厅服务员（MUJI Diner淮海755店）,无印良品（上海）商业有限公司,5-8千/月,若干
,日语业务跟单--上海办,兰州三毛实业股份有限公司,5-8千/月,若干
,JAVA PG,大连麒翔信息科技有限公司,5-7千/月,若干
,赴日java软件工程师（长期出差）(职位编号：0005),大连艾普迪科技有限公司,5-6万/年,若干
,赴日java软件工程师（长期出差）(职位编号：0005),大连艾普迪科技有限公司,5-6万/年,若干
,Java软件工程师,成都聚拓信息技术有限公司,5-6.9千/月,若干
,2019届应届毕业生-软件工程师,上海海隆软件有限公司,5-6.6千/月,若干
,2019届储备海外业务软件工程师,上海海隆软件有限公司,5-6.6千/月,若干
,奢侈品销售 资深销售 销售担当,璞琳梦（上海）珠宝商业有限公司,5.5-9.8千/月,若干
,软件开发工程师（项目经理）,恩梯梯数据（中国）信息技术有限公司长春分公司,5.5-8千/月,若干
,软件开发工程师（项目经理）,恩梯梯数据（中国）信息技术有限公司长春分公司,5.5-8千/月,若干
,日企软件开发工程师(编号93609) 日语必须,上海艾杰飞人力资源有限公司,5.5-8.5千/月,若干
,对外汉语教师（地铁3分交通方便）(职位编号：5),上海远惠文化传播有限公司,50元/小时,若干
,对日软件工程师（COBOL方向）,济南讯和信息技术有限公司,4-9千/月,若干
,Android 开发工程师,成都市飞狼科技有限公司,4-8千/月,若干
,技术顾问,IBM China Global Delivery Center,4-8千/月,若干
,Java/.Net/C/C++对日软件外包工程师（常年招聘）,云计划软件科技（上海）有限公司,4-8千/月,若干
,对日软件工程师(职位编号：001),西安未都网络科技有限公司,4-8千/月,若干
,对日/日本项目软件开发工程师/JAVA/前端/.NET/COBOL,江苏海隆软件技术有限公司,4-8千/月,若干
,对日软件开发工程师（项目经理）,恩梯梯数据（中国）信息技术有限公司长春分公司,4-8千/月,若干
,对日软件开发工程师（项目经理）,恩梯梯数据（中国）信息技术有限公司长春分公司,4-8千/月,若干
,软件开发工程师PG（2-3年经验者）,恩梯梯数据（中国）信息技术有限公司长春分公司,4-8千/月,若干
,赴日派遣咨询顾问,大连拓中教育科技股份有限公司,4-8千/月,若干
,对日/日本项目软件开发工程师/JAVA/前端/.NET/COBOL,江苏海隆软件技术有限公司,4-8千/月,若干
,对日软件开发工程师（项目经理）,恩梯梯数据（中国）信息技术有限公司长春分公司,4-8千/月,若干
,对日软件开发工程师（项目经理）,恩梯梯数据（中国）信息技术有限公司长春分公司,4-8千/月,若干
,嵌入式软件工程师(C 初��  欧美),AW（杭州）信息技术有限公司,4-7万/年,若干
,嵌入式开发工程师(C语言 初��),AW（杭州）信息技术有限公司,4-7万/年,若干
,软件测试(初级SE),AW（杭州）信息技术有限公司,4-7万/年,若干
,Java开发工程师,大连共创软件有限公司,4-7千/月,若干
,初级Java开发工程师（PG）,英赛（大连）信息技术有限公司,4-7千/月,若干
,2-3年对日软件工程师,上海强辰信息技术有限公司,4-7千/月,若干
,JAVA开发工程师（急聘）,大连博石世纪科技有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,(ID67479) 眼镜导购/储备干部,上海任仕达人才服务有限公司,4-6千/月,若干
,无印良品导购员（光谷世界城）,无印良品（上海）商业有限公司,4-6千/月,若干
,对日建筑CAD（钢结构）,大连精石科技有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,日本就职规划师,沈阳政通佳益教育咨询有限公司,4-6千/月,若干
,无印良品导购员（就近分配）,无印良品（上海）商业有限公司,4-6千/月,若干
,无印良品导购员（就近分配）,无印良品（上海）商业有限公司,4-6千/月,若干
,无印良品正式店员（十三薪）,无印良品（上海）商业有限公司,4-6千/月,若干
,无印良品导购员（萧山万象汇）,无印良品（上海）商业有限公司,4-6千/月,若干
,无印良品导购员（工联大厦）,无印良品（上海）商业有限公司,4-6千/月,若干
,无印良品导购员（就近分配）（无销售性质年底13薪）,无印良品（上海）商业有限公司,4-6千/月,若干
,无印良品导购员十三薪无销售压力（利星名品店）,无印良品（上海）商业有限公司,4-6千/月,若干
,无印良品导购员（杭州滨江宝龙城）,无印良品（上海）商业有限公司,4-6千/月,若干
,无印良品导购员（就近分配）,无印良品（上海）商业有限公司,4-6千/月,若干
,无印良品导购员（万象城店）,无印良品（上海）商业有限公司,4-6千/月,若干
,无印良品导购员（西湖银泰城店）,无印良品（上海）商业有限公司,4-6千/月,若干
,(ID67479)眼镜导购/储备干部,上海任仕达人才服务有限公司,4-6千/月,若干
,(ID67479)眼镜导购/储备干部,上海任仕达人才服务有限公司,4-6千/月,若干
,(ID67479)眼镜导购/储备干部,上海任仕达人才服务有限公司,4-6千/月,若干
,(ID67479)眼镜导购/储备干部,上海任仕达人才服务有限公司,4-6千/月,若干
