"id";"jobs";"salary";"firms";"location";"nums"
1;"赴日驻在员";"1.5-2万/月";"青岛三诚国际经济技术合作有限公司";"青岛-黄岛区";"4"
2;"软件工程师-急招赴日出差（急）";"1.5-2万/月";"大连北溟软件有限公司";"大连";"若干"
3;"樱花国际日语-日本留学顾问(赴日留学背景)";"0.6-1.2万/月";"新世界教育集团";"上海-黄浦区";"3"
4;"数字电路设计高级软件开发工程师赴日本长期出差";"3-6万/月";"伙伴（大连）信息技术有限公司";"大连-高新园区";"若干"
5;"日语营业担当（赴日）";"5-8千/月";"大连铃木研磨贸易有限公司";"大连-金州区";"若干"
6;"高薪诚聘赴日出差软件工程师";"2-2.5万/月";"大连鸿进科技有限公司";"大连-沙河口区";"若干"
7;"高薪诚聘赴日工程师";"2-2.5万/月";"大连育知同创科技有限公司";"大连";"3"
8;"软件工程师（赴日长期出差）";"2-2.5万/月";"大连共兴达信息技术有限公司";"大连-沙河口区";"若干"
9;"赴日软件工程师";"1.5-4万/月";"北京核心软件有限公司";"北京-朝阳区";"若干"
10;"紧急招聘赴日（短期/长期）软件工程师（待遇优厚）";"1.5-2万/月";"沈阳思优科信息技术有限公司";"沈阳-皇姑区";"若干"
11;"赴日BSE/软件工程师";"2.5-3万/月";"大连思玛特科技发展有限公司";"大连-高新园区";"5"
12;"赴日安卓软件开发";"1.5-3万/月";"大连维思创新科技有限公司";"大连";"5"
13;"赴日//对日软件开发实习生";"0.8-1万/月";"沈阳上科树品科技有限公司";"沈阳-沈河区";"若干"
14;"赴日派遣咨询顾问";"4-8千/月";"大连拓中教育科技股份有限公司";"大连";"若干"
15;"赴日Java开发工程师";"0.8-1.5万/月";"大连博创人力资源开发有限公司";"大连-沙河口区";"若干"
16;"赴日软件工程师(职位编号：IDEA-0002)";"1-1.5万/月";"大连爱迪思航科技有限公司";"大连";"5"
17;"赴日Java";"1.5-2万/月";"大连弗斯特科技有限公司";"大连-高新园区";"5"
18;"长期赴日软件工程师（C/C++ ）";"1.4-1.8万/月";"大连艾普迪科技有限公司";"大连-高新园区";"若干"
19;"Blockchain赴日高级软件工程师";"2-3万/月";"大连亚天德商务咨询有限公司";"济南";"2"
20;"赴日软件工程师";"1.5-3万/月";"无锡德望科荣科技系统有限公司";"无锡-滨湖区";"5"
21;"赴日软件开发工程师";"1.5-4万/月";"日立解决方案（中国）有限公司";"杭州";"若干"
22;"亚马逊日本运营/ 赴日出差学习机会";"1.5-2万/月";"深圳市遨途科技有限公司";"深圳-龙岗区";"2"
23;"赴日就职项目经理";"1.5-2万/月";"万宝盛华企业管理咨询（上海）有限公司";"上海-徐汇区";"1"
24;"性能调优工程师（赴日）";"15-20万/年";"南京富士通南大软件技术有限公司";"南京";"1"
25;"赴日开发工程师";"1-1.5万/月";"沈阳焱展信息技术有限公司";"沈阳";"5"
26;"日语生产管理-赴日研修有（佛山南海）";"4.5-6千/月";"深圳市骏楚企业管理咨询有限公司";"佛山-南海区";"1"
27;"赴日/日本酒店/免税店/翻译/总务";"1-1.5万/月";"杭州东忠科技股份有限公司";"杭州";"50"
28;"赴日软件工程师";"1.1-5.5万/月";"沈阳信商科技有限公司";"沈阳-沈河区";"50"
29;"对日软件高级工程师（有赴日工作机会）";"0.6-1万/月";"上海强辰信息技术有限公司";"武汉-洪山区";"10"
30;"赴日开发工程师";"1.5-1.8万/月";"南京迈特望科技股份有限公司";"南京";"若干"
31;"赴日软件开发工程师";"1.5-2万/月";"杭州仁卓软件有限公司";"杭州-滨江区";"若干"
32;"海外日本高级销售代表赴日销售/日语营业(职位编号：0334544)";"0.5-1万/月";"惠州市威普科技有限公司";"惠州";"1"
33;"（赴日）焊接夹具设计工程师";"4-8千/月";"昆山富工智能装备有限公司";"昆山";"1"
34;"赴日BSE/软件开发工程师";"1-1.5万/月";"大连和众信拓科技有限公司";"大连";"5"
35;"赴日销售代表(日语）(职位编号：005)";"6-8千/月";"浙江春芽科技有限公司";"杭州-西湖区";"10"
36;"赴日就业项目经理/主管";"0.8-1.5万/月";"未名天（北京）教育科技有限公司";"北京";"1"
37;"赴日C/C++软件工程师";"1.3-1.8万/月";"慧俊信息科技（上海）有限公司";"上海-静安区";"10"
38;"长期赴日出差工作人员（无需语言要求）(职位编号：66)";"1-1.5万/月";"文雅（大连）留学咨询有限公司";"大连-沙河口区";"若干"
39;"赴日JAVA软件工程师（长期赴日）";"2-4万/月";"大连创盛科技有限公司";"大连-高新园区";"若干"
40;"赴日工程师";"1-1.5万/月";"大连运易科技有限公司";"大连";"5"
41;"赴日IT";"1.5-3万/月";"创译科技（大连）有限公司";"大连-高新园区";"10"
42;"短期日语翻译赴日(编号99830) 日语必须";"5-8千/月";"上海艾杰飞人力资源有限公司";"常熟";"3"
43;"介护组长（赴日方向）";"1-1.5万/月";"成都和思康健投资管理有限公司";"成都-温江区";"若干"
44;"赴日工签（电子电气设计，日语N3相当）";"1.5-2万/月";"大宇宙设计开发（大连）有限公司";"大连-高新园区";"20"
45;"对日开发工程（赴日预备,日语必须）";"3-4.5千/月";"上海敏杰软件有限公司";"上海";"若干"
46;"赴日RPG软件开发工程师";"4.5-6千/月";"大连协泰科技有限公司";"大连-高新园区";"若干"
47;"赴日本缝纫女工数名";"1.5千以下/月";"青岛博力源商贸有限公司";"青岛-崂山区";"20"
48;"赴日精密体检客服经理";"0.8-1万/月";"株式会社日本悠兰";"苏州-工业园区";"1"
