id,jobs,firms,salary,nums0
1,C/C++研发工程师,北京关键科技股份有限公司,0.5-1万/月,若干
5,C++开发工程师,深圳高速工程顾问有限公司,10-25万/年,若干
11,C++高级软件工程师,南京烽火星空通信发展有限公司,1.5-2.5万/月,若干
14,软件开发工程师（C++、Java）,上海帕利电子有限公司,6-8千/月,若干
25,（某500强知名企业）C++算法工程师,西安瀚特人力资源有限公司,1-1.5万/月,若干
26,VC/MFC/C++工程师,西安九州艾维航空科技有限公司,0.8-1万/月,若干
28,C++,西安欧鹏信息技术有限公司,0.6-1万/月,若干
32,C++开发工程师,无锡市同芯恒通科技有限公司,4-8千/月,若干
33,C/C++软件开发工程师（Linux /Windows平台）,西安交大捷普网络科技有限公司,0.8-1.5万/月,若干
41,C++开发工程师,西安海讯科技发展有限公司,0.8-1.5万/月,若干
42,C++（万能解码器方向）(001920)(职位编号：netposa001920),东方网力科技股份有限公司,1-1.5万/月,若干
43,C++研发工程师（西安）(J10697),绿盟科技,0.8-1万/月,若干
44,Qt C++/ Qt QML开发工程师,上海亿凯信息技术有限公司,10-11万/年,若干
47,C++/C#开发工程师,上海今日信息科技有限公司,0.5-1.5万/月,若干
59,C/C++开发工程师,浙江大华技术股份有限公司,1-2万/月,若干
64,C++研发工程师(职位编号：014),西安兴汇电力科技有限公司,0.8-2万/月,若干
65,�I�I�I  C++开发工程师 (区块链/比特币/数字贷币),小马股份有限公司西安分公司,1-5万/月,若干
67,C/C++高级开发工程师,西安三茗科技股份有限公司,0.8-1.5万/月,若干
68,软件工程师（C++应用开发）,西安灵境科技有限公司,4-7千/月,若干
69,C++高级软件工程师(职位编号：vertiv000692),维谛技术有限公司,0.7-1.4万/月,若干
79,C++软件开发,新拓三维技术（深圳）有限公司,3-4.5千/月,若干
88,C++开发工程师,和利时集团--西安和利时,0.9-1.2万/月,若干
90,C语言，C++对日软件工程师（长期）,西安民盛计算机技术有限公司,2.5-3万/月,若干
91,C/C++算法研究员,陕西凯仕企业管理咨询有限公司,1.5-2万/月,若干
112,C++软件设计师,航天星图科技（北京）有限公司,0.5-1万/月,若干
114,C++高级软件工程师（西安）,深圳市大疆创新科技有限公司,1-2万/月,若干
116,C++高级开发工程师,广联达科技股份有限公司,1-2万/月,若干
119,C++高级开发工程师,上海麦腾物联网技术有限公司,0.9-1.6万/月,若干
122,C++软件开发工程师,西安盈谷网络科技有限公司,0.8-1.4万/月,若干
