id,jobs,firms,salary,nums0
1,Python开发助理+双休,陕西众信超达科技有限公司,4.5-6千/月,若干
2,java 开发（人工智能python）,陕西养正文化发展有限公司,3-4.5千/月,10
3,Python开发工程师助理/实习,陕西速橘丰信息科技有限公司,4.5-6千/月,3
4,python开发工程师（西安）,中电长城网际系统应用有限公司,0.8-1万/月,1
5,云方向-python开发工程师,北京思特奇信息技术股份有限公司陕西分公司,0.6-1万/月,若干
6,Python/Golang高级开发工程师,陕西巨子生物技术有限公司,0.6-1.2万/月,4
7,Python开发助理/实习生   双休,西安卓睿信息技术有限公司,4.5-6千/月,6
8,Python高级开发工程师,维视科技（西安）有限公司,1.2-1.8万/月,1
9,Python开发工程师,杭州世平信息科技有限公司,7-9千/月,1
10,Python开发工程师,陕西星邑空间技术有限公司,1-1.5万/月,2
11,中级Python开发工程师,江苏润和软件股份有限公司,0.7-1.3万/月,2
12,python讲师+六险一金,西安中软卓越信息技术有限公司,0.8-1万/月,2
13,IT培训讲师（Python）,北京中公教育科技股份有限公司,1-1.5万/月,10
14,Python高级开发工程师,小马股份有限公司西安分公司,0.5-2.5万/月,3
15,Python高级开发工程师,陕西维纳传媒股份有限公司,0.6-1.2万/月,2
16,云计算Python开发工程师,上海思华科技股份有限公司,0.8-1.2万/月,1
17,Python开发工程师,陕西晟运通科技有限公司,0.6-1.5万/月,3
18,Python开发工程师,西安优逸客网络科技有限公司,0.6-1万/月,2
19,Python开发工程师,西安唐远信息科技有限公司,0.5-1万/月,1
20,资深软件开发工程师(Python),上海剑桥科技股份有限公司,1.5-2.8万/月,1
21,python 全栈开发工程师,西安晨之星信息科技有限责任公司,0.5-2万/月,若干
22,Python开发工程师,北京华软金科信息技术有限公司,1-1.5万/月,1
23,Python开发工程师,西安智园软件开发管理有限公司,1-1.5万/月,5
24,Python开发工程师,上海云首信息科技有限公司,1.5-2万/月,若干
25,Python开发助理+双休,陕西金晟网络科技有限公司,4.5-6千/月,若干
26,Python高级软件工程师,北京优诺信创科技有限公司,0.8-1.5万/月,2
27,Python研发工程师-西安-00693,卫宁健康科技集团股份有限公司,1-1.4万/月,1
28,Python开发工程师,上海指旺信息科技有限公司西安分公司,0.6-1.6万/月,3
29,Python开发工程师,西安市城市规划信息中心,4-6千/月,5
30,Python高级研发工程师,西安智推网络科技有限公司,1-1.5万/月,2
31,python讲师/培训师+高薪+六险一金,西安云间信息科技有限公司,1-1.5万/月,1
32,python研发工程师(职位编号：zy),绿盟科技,0.8-1万/月,若干
33,Python开发工程师,东方网力科技股份有限公司,1-2万/月,10
34,python开发,中软国际科技服务有限公司,0.8-1.5万/月,2
35,Python开发工程师,西安华众电子科技股份有限公司,0.5-1.5万/月,10
36,Android开发工程师,西安行方思远网络科技有限公司,3-6千/月,2
37,数据挖掘工程师,联合汽车电子有限公司西安厂,10-15万/年,1
38,软件工程师,西安悦锦电子信息科技有限公司,8-10万/年,若干
39,高级PHP开发工程师,西安西格软件科技有限公司,0.8-1万/月,5
40,Web前端开发工程师,西安朔维医疗数据有限公司,0.8-1.2万/月,5
41,C++/C#中级开发工程师,北京兰光创新科技有限公司,1-1.5万/月,1
42,机器人开发工程师,武汉有戏网络科技有限公司,3-6万/月,5
43,数据分析员,西安二十一世纪生物科技有限公司,4.5-6千/月,1
44,软件测试工程师,虎丘影像（苏州）有限公司,6-8千/月,1
45,Sr. C++  (Navigation,,,
46,IT运维开发工程师,中通服科信信息技术有限公司,6-8千/月,2
47,深度学习实习工程师（西安）,聚龙股份有限公司,2-4千/月,若干
48,Java开发工程师,西安数美互动网络技术有限公司,1-1.5万/月,3
49,高级ASIC后端工程师（工作地点：泸州）,泸州倍赛达科技有限公司,2-2.5万/月,2
50,PHP高级开发工程师,西安澳通电讯技术股份有限公司,0.8-1.5万/月,2
51,系统运维工程师,西安景兆信息科技有限公司,0.8-1万/月,2
52,Cloud Engineer（C）,广州瑞利联科信息技术有限公司,20-40万/年,2
53,软件测试工程师,西安好乐互娱文化传播有限责任公司,5-8千/月,1
54,SAAS产品经理,西安因联信息科技有限公司,1.5-2.5万/月,1
55,C/C++高级开发工程师,北京北信源软件股份有限公司,0.8-1万/月,2
56,系统运维工程师,上海泰然投资控股有限公司,1-2万/月,2
57,嵌入式开发高级工程师,西安思菲特信息科技有限公司,0.8-1.2万/月,1
58,软件测试工程师,威发（西安）软件有限公司,5-9千/月,1
59,C++中级软件工程师,西安魔盾电气工程自动化研究所有限公司,0.6-1万/月,2
60,少儿编程老师,西安童程童创教育科技有限公司,0.6-1万/月,8
61,数据开发工程师,武汉金淳久久商贸有限公司,3-4.5千/月,2
62,数据分析工程师,陕西君瀚信息技术有限公司,6-8千/月,若干
63,IT运维工程师,百胜餐饮（西安）有限公司,6-8千/月,1
64,大数据开发工程师,山西科泰航天防务技术股份有限公司,1-1.5万/月,2
65,网络安全培训讲师(职位编号：16905),奇虎360科技有限公司,1.5-2万/月,3
66,研发总监-西安-12782,优信集团,3-4万/月,1
67,WEB前端开发+双休+五险一金+应届生,西安达文信息技术有限公司,4-6千/月,4
68,SLAM算法工程师,广东星舆科技有限公司,1.5-3万/月,3
69,RD-人工智能工程师,TCL集团工业研究院,1-1.5万/月,5
70,体验运营专家(J180813013)(职位编号：J180813013),滴滴出行,1.5-2万/月,1
71,Linux Systems Engineer,艾斯普(Aspira）,1.3-1.9万/月,1
72,Web开发工程师,西安三茗科技股份有限公司,6-8千/月,3
73,三维重建算法工程师-XA,深圳奥比中光科技有限公司,1.5-3万/月,若干
74,运维工程师,深圳市坐标软件开发有限公司,1-1.5万/月,2
75,爬虫开发工程师,西安图道信息科技有限公司,6-8千/月,3
76,测试工程师,西安栎安科技有限公司,0.5-1万/月,2
77,软件实施工程师,西安笃定信息技术有限公司,3-4.5千/月,10
78,web前端开发,西安西品网络科技有限公司,4.5-6千/月,1
79,软件测试工程师（中级）,西安腾营信息科技有限公司,6-8千/月,1
80,信息系统工程师（西安）,四川郎酒股份有限公司,6-8千/月,若干
81,PHP开发工程师,西安雅森研学教育科技有限公司,0.6-1.2万/月,1
82,C++高级开发工程师,北京宜选科技股份公司,1.2-1.8万/月,5
83,postgresql数据库开发人员(深圳）,陕西九鼎通信技术有限公司,1-1.5万/月,2
84,数据挖掘工程师,陕西天行健车联网信息技术有限公司,0.8-1万/月,1
85,图像/视频高级算法工程师(职位编号：novatek000586),联咏电子科技（西安）有限公司,1-3万/月,若干
86,运维实施工程师,西安点通软件信息技术有限公司,4-6千/月,1
87,软件研发工程师（应届生专区）,紫光陕数大数据有限公司,1-1.5万/月,5
88,数字IC后端设计工程师,广州众诺电子技术有限公司,1-2万/月,2
89,运维工程师,广州亿程交通信息集团有限公司,4-6千/月,2
90,教师（计算机方向）,西安欧亚学院,6-8千/月,1
91,高级数据库运维人员,三门峡崤云信息服务股份有限公司,0.8-1.5万/月,1
92,大数据开发工程师,三盟科技股份有限公司,1.5-2万/月,若干
93,数据开发工程师,西安亚购信息科技有限公司,1-2万/月,若干
94,招聘经理,苏州浩辰软件股份有限公司西安分公司,0.6-1.2万/月,1
95,Java开发工程师,西安数之元网络科技有限公司,0.6-1.5万/月,1
96,全栈工程师,三门峡崤云安全服务有限公司,6-8千/月,1
97,软件工程师（校园招聘）(职位编号：004),陕西亚成微电子股份有限公司,0.8-1万/月,5
98,深度学习工程师,中国科学院自动化研究所（洛阳）机器人与智能装备创新研究院,0.7-1.5万/月,2
99,大数据研发工程师,北京明朝万达科技股份有限公司,0.8-1.6万/月,2
