id,jobs,firms,salary,nums0
1,Java开发工程师,陕西元信软件有限责任公司,0.8-1万/月,2
2,Java讲师,华美计算机学院,1-1.5万/月,2
3,Java软件测试全职实习生,西安橡树软件有限公司,2-3千/月,3
4,初级JAVA实习助理（双休）,陕西金晟网络科技有限公司,4.5-6千/月,若干
5,Java高级开发工程师,西安博文同创信息技术有限公司,1-1.5万/月,2
6,JAVA软件工程师（资深）（西安研发分中心）(职位编号：YNT-YF-002-4),云南航信空港网络有限公司,15-20万/年,若干
7,Java开发实习生(汽车电子业务线）,陕西迪博佰通教育科技有限公司,4.5-6千/月,3
8,Java开发工程师,西安朔维医疗数据有限公司,0.8-1.2万/月,5
9,Java资深开发工程师,武汉有戏网络科技有限公司,1.5-3万/月,5
10,Java中级开发工程师,陕西九鼎通信技术有限公司,0.8-1.6万/月,5
11,Java开发工程师,南京迈特望科技股份有限公司,0.7-1万/月,3
12,软件工程师（ java）-2019应届生,西安因联信息科技有限公司,4-7千/月,2
13,初级JAVA程序员实习生+五险双休,西安思云电子科技有限公司,4.5-6千/月,若干
14,Java开发工程师,陕西鑫众为软件有限公司,4.5-6千/月,2
15,Android/Java开发组长,西安泰为软件有限公司,1.8-2.2万/月,1
16,Java高级开发工程师,西部电子商务股份有限公司,0.8-1.5万/月,若干
17,JAVA软件工程师,中通服科信信息技术有限公司,0.5-1.2万/月,5
18,Java开发实习生,陕西冰狐网络科技有限公司,3-6千/月,5
19,Java开发工程师,航天星图科技（北京）有限公司,1-1.5万/月,1
20,Java后台开发工程师,卡漠网络科技股份有限公司,0.9-1.3万/月,4
21,Java开发工程师,西安数美互动网络技术有限公司,1-1.5万/月,3
22,高级Java工程师,陕西万尚星软件科技有限公司,1-1.5万/月,1
23,Java架构师,西安好乐互娱文化传播有限责任公司,1.2-2万/月,1
24,Java开发工程师,陕西现代教育研究院,5-8千/月,2
25,java 开发（人工智能python）,陕西养正文化发展有限公司,3-4.5千/月,10
26,Java软件工程师,上海慧程工程技术服务有限公司,6-8千/月,2
27,Java开发工程师,翰竺科技（北京）有限公司,6-8千/月,若干
28,Java高级开发工程师,北京同方艾威康科技有限公司,0.8-1万/月,1
29,Java开发实习生,浙江天正信息科技有限公司,2-3千/月,若干
30,Java高级开发工程师,江苏南大先腾信息产业股份有限公司,0.8-1万/月,1
31,Java中高级开发工程师,西安长涛网络小额贷款有限公司,1-1.8万/月,2
32,Java高级开发工程师,陕西劳动者共享科技有限公司,1-1.5万/月,2
33,Java高级开发工程师,陕西源天信息科技有限公司,0.8-1.5万/月,2
34,Java中级开发工程师,北京北信源软件股份有限公司,6-9千/月,3
35,java高级开发工程师,上海泰然投资控股有限公司,1.5-2万/月,2
36,JAVA后台开发,陕西新通智能科技有限公司,0.6-1万/月,1
37,Java开发工程师,华正云科（北京）信息技术有限公司,4-8千/月,4
38,Java开发工程师(职位编号：002),西安图迹信息科技有限公司,0.8-1.2万/月,2
39,高级java软件工程师,陕西万盛达信息科技有限公司,0.8-1.5万/月,3
40,高级Java软件工程师,西安魔盾电气工程自动化研究所有限公司,1-2万/月,3
41,JAVA开发工程师 绩效+双休+社保,陕西诚泰科技讯息有限责任公司,6-8千/月,10
42,JAVA软件工程师,西安凯虹电子科技有限公司,0.8-1万/月,若干
43,Java高级开发工程师(职位编号：02),威发（西安）软件有限公司,0.8-1.6万/月,若干
44,java高级软件工程师(西安),西安金锐软件有限公司,0.8-1.2万/月,5
45,java工程师,浙江浙大网新中研软件有限公司,0.8-1万/月,2
46,Java老师,西安童程童创教育科技有限公司,1-1.5万/月,5
47,JAVA开发实习（可应届）,明德博学（北京）教育科技有限公司,4.5-6千/月,18
48,Java开发专员（高基薪+双休餐补）,武汉金淳久久商贸有限公司,4.5-6千/月,2
49,Java高级开发工程师(职位编号：001),西安朝阳医疗信息产业有限责任公司,1-1.5万/月,3
50,Java开发工程师(职位编号：462454332715079),文思海辉金融,1-1.5万/月,3
51,JAVA开发工程师(职位编号：451072181915936),文思海辉技术有限公司Pactera Technology International Limited,0.8-1万/月,5
52,Java开发工程师,北京柯莱特科技有限公司,1.5-2万/月,若干
53,Java开发人员（西安）,中电长城网际系统应用有限公司,0.8-1万/月,1
54,Java高级开发工程师,山西科泰航天防务技术股份有限公司,0.8-1万/月,3
55,JAVA .NET C ANDROID PHP 软件开发工程师,荣慧（大连）电子商务有限公司,2-2.5万/月,3
56,Java开发+双休+五险一金+应届生,西安达文信息技术有限公司,4-6千/月,4
57,Java开发工程师(职位编号：D006-X),上海安畅网络科技股份有限公司,0.8-1.5万/月,2
58,实习生（java技术方向）,西安神州数码有限公司,2-3千/月,10
59,JAVA开发工程师（系统类）C++开发工程师,青岛首航电子有限公司,4.5-6千/月,4
60,JAVA技术经理,北京思诺博信息技术股份有限公司,1.2-2.5万/月,1
61,软件工程师技术人员Java、SAP、PHp等,NPC株式会社,1.5-4万/月,10
62,C# Java JavaScript软件开发工程师,陕西晟思智能测控有限公司,4-6千/月,2
63,RD-JAVA开发工程师 （智能家居方向）,TCL集团工业研究院,0.8-1万/月,1
64,Java 项目经理,西安惠尔企业管理咨询有限公司,1-1.6万/月,1
65,JAVA软件工程师（西安应届生）,上海古鳌电子科技股份有限公司,0.7-1.3万/月,若干
66,高薪诚聘Java高级工程师（西安）,深圳市坐标软件开发有限公司,0.8-1万/月,若干
67,Java开发工程师,神州数码信息服务股份有限公司,6-8千/月,5
68,Java开发工程师,亚信软件CMC,0.6-1万/月,若干
69,JAVA开发工程师,亚信软件CUC,0.8-1万/月,4
70,Java开发工程师,西安鼎力信息技术有限责任公司,0.6-1.2万/月,若干
71,PTG101-Java/Web开发工程师,北京超图软件股份有限公司,6-9千/月,1
72,JAVA工程师,北京金之盾信息技术有限公司,0.8-1.6万/月,5
73,Java高级开发工程师,西安三茗科技股份有限公司,1.2-1.8万/月,若干
74,Java高级工程师,北京天职信息技术有限公司,1-1.5万/月,1
75,Java高级开发工程师,西安腾营信息科技有限公司,1-1.5万/月,2
76,JAVA工程师（技术主管）,西安雅森研学教育科技有限公司,0.6-1.2万/月,1
77,Java 开发工程师,陕西美农网络科技有限公司,4-8千/月,3
78,高级Java软件工程师,西安世达通电子信息技术有限公司,10-15万/年,1
79,Java高级开发工程师,陕西腾兮汇智企业管理有限公司,0.7-1万/月,3
80,Java开发工程师,西安华线石油科技有限公司,0.5-1.5万/月,5
81,Java高级开发工程师,西安商鼎能源科技有限公司,0.7-1万/月,4
82,Java高级开发工程师,北京国通创投信息科技有限公司,0.8-1.5万/月,10
83,Java开发（偏前端）,中讯志远（武汉）科技有限公司,1-1.5万/月,若干
84,Senior Java Engineer,上海优吾企业管理咨询有限公司,1.5-2.5万/月,1
85,行业JAVA 开发工程师,西安环太科技发展有限公司,5-8千/月,5
86,Java高级开发工程师,陕西花之吻企业管理有限公司,0.8-1万/月,1
87,初级Java开发工程师,西安智贸信息科技有限公司,3-4.5千/月,若干
88,华为业务线java开发工程师,陕西点金石易教育科技有限公司,6-8千/月,5
89,Java软件开发工程师,西安融科通信技术有限公司,0.8-1.5万/月,2
90,java高级工程师,广州亿程交通信息集团有限公司,1-1.8万/月,2
91,Java开发工程师,西安欧鹏信息技术有限公司,5-8千/月,若干
92,实习生-初级Java工程师,西安亚购信息科技有限公司,4-5千/月,6
93,高级JAVA开发工程师,山东新北洋信息技术股份有限公司,0.6-1.2万/月,若干
94,Java开发工程师,南京绛门信息科技股份有限公司,0.7-1.2万/月,3
95,Java开发工程师,税友软件集团股份有限公司,0.6-1万/月,3
96,Java开发工程师,西安图道信息科技有限公司,6-8千/月,3
97,Java开发工程师（中级）,西安美齐电子商务有限公司,0.6-1.2万/月,5
98,Java软件开发,西安点通软件信息技术有限公司,5-8千/月,2
99,Java工程师,西安英卓酒店管理有限公司,20-25万/年,1
