"id";"jobs";"link";"firms"
1;"数据中心网络运维部网络工程师";"https://jobs.51job.com/shenzhen-nsq/102129778.html?s=01&t=0";"长城宽带网络服务有限公司深圳分公司"
2;"虚拟化运维工程师";"https://jobs.51job.com/shenzhen-ftq/107724165.html?s=01&t=0";"神州数码信息服务股份有限公司"
3;"系统运维工程师";"https://jobs.51job.com/shenzhen-nsq/107738073.html?s=01&t=0";"北京源晨动力技术服务有限公司"
4;"高级运维工程师";"https://jobs.51job.com/shenzhen-nsq/107736935.html?s=01&t=0";"量化云科技（香港）有限公司"
5;"高级运维工程师";"https://jobs.51job.com/shenzhen-ftq/107733173.html?s=01&t=0";"万科集团物业事业本部"
6;"IT运维工程师";"https://jobs.51job.com/shenzhen-nsq/91353844.html?s=01&t=0";"深圳传音控股股份有限公司"
7;"网络运维工程师";"https://jobs.51job.com/shenzhen-nsq/107634939.html?s=01&t=0";"深圳市宏洋科技有限公司"
8;"桌面运维工程师";"https://jobs.51job.com/shenzhen-nsq/107704320.html?s=01&t=0";"阳光雨露信息技术服务（北京）有限..."
9;"IDC运维总监（数据中心）";"https://jobs.51job.com/shenzhen-ftq/98781112.html?s=01&t=0";"深圳互联先锋科技有限公司"
10;"运维工程师";"https://jobs.51job.com/shenzhen/67634983.html?s=01&t=0";"深圳市亚曼科技有限公司"
11;"运维开发工程师";"https://jobs.51job.com/shenzhen/107662296.html?s=01&t=0";"深圳前海用友力合金融服务有限公司"
12;"网络运维";"https://jobs.51job.com/shenzhen-nsq/89004225.html?s=01&t=0";"深圳欣捷毅拓科技有限公司"
13;"桌面运维工程师";"https://jobs.51job.com/shenzhen-lgq/89817364.html?s=01&t=0";"深圳市易聆科信息技术股份有限公司"
14;"高级运维工程师（急聘）";"https://jobs.51job.com/shenzhen-ftq/86698858.html?s=01&t=0";"上海奥爵商务咨询有限公司"
15;"Linux运维工程师/系统工程师";"https://jobs.51job.com/shenzhen-ftq/107138980.html?s=01&t=0";"深圳市联畅信息技术有限公司"
16;"大数据运维工程师";"https://jobs.51job.com/shenzhen-nsq/101265700.html?s=01&t=0";"意礴数字科技（深圳）有限公司"
17;"咖啡机运维";"https://jobs.51job.com/shenzhen-baq/106517948.html?s=01&t=0";"深圳赛威商贸有限公司"
18;"校招-运维工程师";"https://jobs.51job.com/shenzhen-nsq/107482301.html?s=01&t=0";"深圳前海联易融金融服务有限公司"
19;"网络客服专员（运维销售）";"https://jobs.51job.com/shenzhen-lhxq/103980385.html?s=01&t=0";"深圳九河互联信息技术有限公司"
20;"店面运维";"https://jobs.51job.com/changde/106541169.html?s=01&t=0";"湖南粤港模科实业有限公司"
21;"运维主管";"https://jobs.51job.com/shenzhen-baq/106802259.html?s=01&t=0";"深圳市生银万国网络科技有限公司"
22;"充电站场站运维专员";"https://jobs.51job.com/shenzhen-lgq/95408283.html?s=01&t=0";"深圳市安和威电力科技股份有限公司"
23;"自动化运维工程师";"https://jobs.51job.com/shenzhen-lhq/106919069.html?s=01&t=0";"信必优(深圳)信息技术有限公司"
24;"机房运维工程师";"https://jobs.51job.com/shenzhen-lhq/104751778.html?s=01&t=0";"深圳市星火电子工程公司"
25;"运维工程师（深圳）";"https://jobs.51job.com/shenzhen-ftq/93705807.html?s=01&t=0";"深圳赛诺百应科技有限公司"
26;"网络运维工程师";"https://jobs.51job.com/beijing/107227588.html?s=01&t=0";"北京经义坪科技有限公司"
27;"游戏运维工程师";"https://jobs.51job.com/shenzhen-nsq/103499245.html?s=01&t=0";"深圳市点加互动网络科技有限公司"
28;"桌面运维工程师";"https://jobs.51job.com/shenzhen-lhq/102664319.html?s=01&t=0";"中粮集团（深圳）有限公司"
29;"运维工程师";"https://jobs.51job.com/shenzhen-nsq/107725507.html?s=01&t=0";"深圳智慧医学科技有限公司"
30;"系统运维助理工程师";"https://jobs.51job.com/shenzhen-baq/107633480.html?s=01&t=0";"深圳市斯科尔科技有限公司"
31;"IT技术运维师(急聘）";"https://jobs.51job.com/shenzhen-lgq/101455705.html?s=01&t=0";"深圳市联深科技发展有限公司"
32;"系统运维工程师";"https://jobs.51job.com/shenzhen-ftq/98151411.html?s=01&t=0";"混沌天成期货股份有限公司"
33;"运维工程师";"https://jobs.51job.com/shenzhen-nsq/107724449.html?s=01&t=0";"深圳市龙舞华章科技有限公司"
34;"IT运维工程师（深圳）";"https://jobs.51job.com/shenzhen-ftq/106764999.html?s=01&t=0";"深圳中航信息科技产业股份有限公司"
35;"网络运维工程师";"https://jobs.51job.com/shenzhen-baq/106939437.html?s=01&t=0";"深圳市万载中科节能环保有限公司"
36;"运维工程师";"https://jobs.51job.com/shenzhen/105796542.html?s=01&t=0";"深圳市俯天网络科技有限公司"
37;"IT 桌面运维(000829)";"https://jobs.51job.com/shenzhen/107699984.html?s=01&t=0";"北京益普索市场咨询有限公司"
38;"安全运维工程师";"https://jobs.51job.com/shenzhen-lhq/107669896.html?s=01&t=0";"深圳中力知识科技有限公司"
39;"高级测试工程师（兼运维）";"https://jobs.51job.com/shenzhen-baq/107704173.html?s=01&t=0";"国创元禾区块链有限公司"
40;"运维专员";"https://jobs.51job.com/shenzhen-lgq/107521295.html?s=01&t=0";"四川城市绿动科技有限公司"
41;"大数据运维工程师";"https://jobs.51job.com/shenzhen-ftq/104134460.html?s=01&t=0";"晨星资讯（深圳）有限公司"
42;"运维经理";"https://jobs.51job.com/shenzhen-baq/107682380.html?s=01&t=0";"深圳友椰科技有限公司"
43;"运维开发工程师（Java）";"https://jobs.51job.com/shenzhen-baq/107686442.html?s=01&t=0";"深圳市康凯斯信息技术有限公司"
44;"运维主管";"https://jobs.51job.com/shenzhen-ftq/107685521.html?s=01&t=0";"深圳茂业商厦有限公司"
45;"运维开发工程师（Java）";"https://jobs.51job.com/shenzhen-baq/107674502.html?s=01&t=0";"深圳市几米物联有限公司"
46;"系统运维工程师";"https://jobs.51job.com/shenzhen-lhq/107704691.html?s=01&t=0";"深圳市水务技术服务有限公司"
47;"java运维服务工程师";"https://jobs.51job.com/shenzhen-ftq/107692046.html?s=01&t=0";"南京迈特望科技股份有限公司"
48;"运维工程师助理（资源管理方向）";"https://jobs.51job.com/shenzhen-nsq/107672240.html?s=01&t=0";"OPPO"
49;"运维工程师";"https://jobs.51job.com/shenzhen-nsq/107441161.html?s=01&t=0";"深圳特来电新能源有限公司"
50;"高级运维开发工程师";"https://jobs.51job.com/shenzhen-nsq/106848252.html?s=01&t=0";"深圳市快鸽互联网科技有限公司"
51;"运维工程师";"https://jobs.51job.com/shenzhen-ftq/106772436.html?s=01&t=0";"深圳华强聚丰电子科技有限公司"
52;"运维工程师";"https://jobs.51job.com/shenzhen-lhxq/106447993.html?s=01&t=0";"深圳市理德铭科技股份有限公司"
53;"网络运维工程师";"https://jobs.51job.com/shenzhen-lhq/106004731.html?s=01&t=0";"深圳市高德信通信股份有限公司"
