"id";"jobs";"firms";"salary";"nums0"
1;"数据中心网络运维部网络工程师";"长城宽带网络服务有限公司深圳分公司";"6-8千/月";"1"
2;"虚拟化运维工程师";"神州数码信息服务股份有限公司";"0.8-1.3万/月";"1"
3;"系统运维工程师";"北京源晨动力技术服务有限公司";"0.6-1万/月";"6"
4;"高级运维工程师";"量化云科技（香港）有限公司";"2-3.5万/月";"1"
5;"高级运维工程师";"万科集团物业事业本部";"1.5-3万/月";"若干"
6;"IT运维工程师";"深圳传音控股股份有限公司";"0.6-1.2万/月";"3"
7;"网络运维工程师";"深圳市宏洋科技有限公司";"7-8千/月";"1"
8;"桌面运维工程师";"阳光雨露信息技术服务（北京）有限公司";"4-6千/月";"1"
9;"IDC运维总监（数据中心）";"深圳互联先锋科技有限公司";"2-4万/月";"1"
10;"运维工程师";"深圳市亚曼科技有限公司";"4.5-6千/月";"2"
11;"运维开发工程师";"深圳前海用友力合金融服务有限公司";"1-2万/月";"若干"
12;"网络运维(职位编号：07)";"深圳欣捷毅拓科技有限公司";"6-8千/月";"1"
13;"桌面运维工程师";"深圳市易聆科信息技术股份有限公司";"5-6.5千/月";"3"
14;"高级运维工程师（急聘）";"上海奥爵商务咨询有限公司";"6-8千/月";"2"
15;"Linux运维工程师/系统工程师";"深圳市联畅信息技术有限公司";"1-1.5万/月";"5"
16;"大数据运维工程师";"意礴数字科技（深圳）有限公司";"1-2万/月";"1"
17;"咖啡机运维";"深圳赛威商贸有限公司";"3-4.5千/月";"1"
18;"校招-运维工程师";"深圳前海联易融金融服务有限公司";"0.8-1.5万/月";"若干"
19;"网络客服专员（运维销售）";"深圳九河互联信息技术有限公司";"4.5-6千/月";"若干"
20;"店面运维";"湖南粤港模科实业有限公司";"6-8千/月";"5"
21;"运维主管";"深圳市生银万国网络科技有限公司";"0.6-1万/月";"1"
22;"充电站场站运维专员";"深圳市安和威电力科技股份有限公司";"3-6千/月";"5"
23;"自动化运维工程师";"信必优(深圳)信息技术有限公司";"1.2-1.7万/月";"若干"
24;"机房运维工程师";"深圳市星火电子工程公司";"4-7千/月";"2"
25;"运维工程师（深圳）";"深圳赛诺百应科技有限公司";"4-5千/月";"5"
26;"网络运维工程师";"北京经义坪科技有限公司";"1.2-3万/月";"若干"
27;"游戏运维工程师";"深圳市点加互动网络科技有限公司";"1.2-2.4万/月";"2"
28;"桌面运维工程师";"中粮集团（深圳）有限公司";"0.5-1.5万/月";"1"
29;"运维工程师";"深圳智慧医学科技有限公司";"0.8-1.5万/月";"1"
30;"系统运维助理工程师";"深圳市斯科尔科技有限公司";"4.5-6千/月";"3"
31;"IT技术运维师(急聘）";"深圳市联深科技发展有限公司";"4.5-6千/月";"6"
32;"系统运维工程师";"混沌天成期货股份有限公司";"6-8千/月";"1"
33;"运维工程师";"深圳市龙舞华章科技有限公司";"2-2.5万/月";"1"
34;"IT运维工程师（深圳）";"深圳中航信息科技产业股份有限公司";"4-6千/月";"2"
35;"网络运维工程师";"深圳市万载中科节能环保有限公司";"4-7千/月";"1"
36;"运维工程师";"深圳市俯天网络科技有限公司";"1.5-1.8万/月";"2"
37;"IT 桌面运维(000829)(职位编号：Ipsos000829)";"北京益普索市场咨询有限公司";"4.5-6千/月";"1"
38;"安全运维工程师";"深圳中力知识科技有限公司";"1-1.5万/月";"1"
39;"高级测试工程师（兼运维）";"国创元禾区块链有限公司";"1.8-2.5万/月";"1"
40;"运维专员";"四川城市绿动科技有限公司";"5.5-8千/月";"3"
41;"大数据运维工程师";"晨星资讯（深圳）有限公司";"1-1.2万/月";"1"
42;"运维经理";"深圳友椰科技有限公司";"0.8-1.1万/月";"1"
43;"运维开发工程师（Java）";"深圳市康凯斯信息技术有限公司";"1-1.7万/月";"3"
44;"运维主管";"深圳茂业商厦有限公司";"0.8-1万/月";"1"
45;"运维开发工程师（Java）";"深圳市几米物联有限公司";"1-1.7万/月";"3"
46;"系统运维工程师";"深圳市水务技术服务有限公司";"4.5-6千/月";"2"
47;"java运维服务工程师";"南京迈特望科技股份有限公司";"0.6-1万/月";"10"
48;"运维工程师助理（资源管理方向）";"OPPO";"4-9千/月";"1"
49;"运维工程师";"深圳特来电新能源有限公司";"6-8千/月";"1"
50;"高级运维开发工程师";"深圳市快鸽互联网科技有限公司";"1.5-2.5万/月";"1"
51;"运维工程师";"深圳华强聚丰电子科技有限公司";"1.2-1.8万/月";"1"
52;"运维工程师";"深圳市理德铭科技股份有限公司";"0.8-1万/月";"1"
53;"网络运维工程师";"深圳市高德信通信股份有限公司";"1.2-2万/月";"若干"
54;"高级运维工程师（云产品方向）";"广州赛意信息科技股份有限公司";"1.5-3万/月";"若干"
55;"高级安全运维主管";"深圳市蓝海投资电子商务有限公司";"1.5-2.5万/月";"1"
56;"网络运维工程师";"深圳易信科技股份有限公司";"6-8千/月";"1"
57;"运维工程师";"深圳前海电商供应链管理有限公司";"0.8-1万/月";"1"
58;"服务器运维工程师";"北京亚康环宇科技有限公司";"4-7千/月";"2"
59;"运维技术员（华为项目）";"深圳市特发物业管理有限公司";"4.5-6千/月";"10"
60;"桌面运维工程师";"深圳市中域通信息技术有限公司";"4-7千/月";"2"
61;"IT桌面运维经理";"深圳索信达数据技术股份有限公司";"7-8千/月";"1"
62;"IT运维工程师";"深圳市飞荣达科技股份有限公司";"7-8千/月";"2"
63;"安全运维工程师";"深圳市赢众通金融信息服务有限责任公司";"1.5-2.5万/月";"1"
64;"运维工程师";"深圳市万普拉斯科技有限公司";"1-1.5万/月";"若干"
65;"运维工程师";"云积分科技有限公司";"0.6-1.2万/月";"2"
66;"DevOps (运维开发) 经理";"大地零一（深圳）科技有限公司";"2-4万/月";"若干"
67;"网络运维工程师";"深圳前海容易配电子商务有限公司";"1-1.5万/月";"1"
68;"高级运维工程师";"深圳给乐信息科技有限公司";"1.5-2.2万/月";"1"
69;"网站运维工程师(职位编号：201809-001)";"深圳市前海中成实业有限公司";"5-8千/月";"1"
70;"数据中心基础设施运维经理";"万国数据服务有限公司";"1.8-3万/月";"1"
71;"JRL-运维工程师(J10844)";"深圳市银雁金融服务有限公司";"1-1.5万/月";"1"
72;"运维工程师";"银雁（总部）金融服务有限公司";"1-1.5万/月";"1"
73;"IDC运维总监";"依米康科技集团股份有限公司";"3-5万/月";"1"
74;"网络运维工程师";"恩大细胞基因工程有限公司";"5-8千/月";"1"
75;"运维经理";"深圳市网联天下科技有限公司";"1.5-2.5万/月";"1"
76;"硬件运维工程师（深圳）";"北京中置科技有限公司";"4-6千/月";"1"
77;"高级运维工程师";"深圳嘉源锐信管理软件有限公司";"1.1-2万/月";"1"
78;"运维工程师";"深圳市云舟网络科技有限公司";"0.8-1.5万/月";"2"
79;"运维工程师";"深圳市优鲜达科技有限公司";"5-8千/月";"1"
80;"运维工程师";"小虎互联科技（深圳）有限公司";"1-1.5万/月";"1"
81;"运维开发工程师";"北京宇信科技集团股份有限公司";"0.8-1.6万/月";"5"
82;"运维工程师";"深圳市多元世纪信息技术股份有限公司";"5-8千/月";"若干"
83;"高级运维工程师 （深圳）";"深圳友德医科技有限公司";"1.3-2.5万/月";"1"
84;"系统运维专员";"百朗商贸（深圳）有限公司";"5-7千/月";"1"
85;"运维工程师";"深圳前海跨海侠跨境电子商务有限公司";"1-1.5万/月";"1"
86;"运维工程师";"深圳万卓文化发展有限公司";"6-9千/月";"1"
87;"服务器运维工程师";"深圳市智布互联纺织科技有限公司";"0.8-1.2万/月";"1"
88;"运维工程师";"深圳新恒泰融资租赁有限公司";"0.8-1万/月";"1"
89;"运维开发工程师";"竹间智能科技（上海）有限公司";"15-20万/年";"1"
90;"游戏运维工程师";"深圳市中顺和盈科技有限公司";"1.5-3万/月";"1"
91;"网站运维专员";"深圳市远志翔宁科技有限公司";"6-8千/月";"1"
92;"业务运维工程师";"后河集团";"1-2万/月";"1"
93;"电商运维开发工程师";"金科伟业（中国）有限公司";"0.8-1.5万/月";"1"
94;"IT运维工程师";"深圳光启空间技术有限公司";"0.6-1万/月";"1"
95;"Linux运维工程师";"长沙惟海德信息科技有限公司";"0.8-1.2万/月";"1"
96;"开发运维工程师";"偌亚奥国际货运代理（深圳）有限公司";"0.8-1万/月";"1"
97;"监控运维工程师";"深圳市稳速网络科技有限公司";"6-8万/年";"2"
98;"系统运维主管";"时丰运通物流（深圳）有限公司";"1.5-2万/月";"1"
99;"运维工程师";"深圳奥比中光科技有限公司";"1-2万/月";"1"
100;"运维工程师";"广东赛翼智能科技有限公司";"0.5-1万/月";"2"
101;"资深桌面运维工程师/IT技术骨干";"深圳市飞尔跃科技发展有限公司";"1-1.5万/月";"1"
102;"物流运维员（共享充电宝）";"深圳来电科技有限公司";"4-5.5千/月";"若干"
103;"游戏运维工程师";"花色互娱（深圳）网络科技有限公司";"1-2万/月";"若干"
104;"系统运维工程师";"广东智越信息技术有限公司";"1-1.5万/月";"若干"
105;"车辆运维专员";"深圳市星盈新能源汽车有限公司";"4.5-6千/月";"2"
106;"数通运维工程师(职位编号：13)";"深圳市希尔科技发展有限公司";"6-8千/月";"1"
107;"IT运维工程师";"深圳第一亚太物业管理有限公司";"4.5-6千/月";"1"
108;"DevOps运维工程师";"传易互联（深圳）有限公司";"2-3万/月";"若干"
109;"工程运维（安装工程师）";"北京西柚传媒科技有限公司深圳办事处";"4.5-6千/月";"若干"
110;"系统运维工程师";"深圳尚左区块链科技有限公司";"1-2万/月";"若干"
111;"运维工程师/网络管理员";"深圳市小君科技有限公司";"0.8-1万/月";"若干"
112;"运维工程师(J10643)";"厦门立达信绿色照明集团有限公司";"1.5-2万/月";"1"
113;"网络运维主管";"万家客（深圳）房地产经纪有限公司";"0.8-1万/月";"1"
114;"运维工程师";"万科企业股份有限公司";"2-2.5万/月";"3"
115;"运维工程师";"华康海宇财富管理有限公司";"0.6-1.2万/月";"1"
116;"运维工程师";"深圳市康拓普信息技术有限公司";"1-1.5万/月";"1"
117;"网络运维工程师(深圳)";"南凌科技股份有限公司";"0.6-1万/月";"3"
118;"IT运维工程师";"鹏元资信评估有限公司";"0.8-1万/月";"1"
119;"运维专员";"玩转（广州）软件科技有限公司";"4.5-6千/月";"3"
120;"系统运维工程师";"伯恩光学（深圳）有限公司";"0.8-1万/月";"1"
121;"现场实施运维工程师";"深圳市安软科技股份有限公司";"4-8千/月";"若干"
122;"运维开发工程师";"云集共享科技有限公司";"1.2-2.5万/月";"若干"
123;"运维工程师";"深圳前海易联科技有限公司";"0.6-1.2万/月";"1"
124;"运维专员";"深圳福能达空气与水科技发展有限公司";"4-6千/月";"5"
125;"运维工程师（外包-中移物联网）";"网思科技股份有限公司";"0.8-1万/月";"10"
126;"收单业务部-商户运维BD1";"美团点评";"0.6-1万/月";"若干"
127;"网络运维工程师";"深圳市能信安科技股份有限公司";"0.6-1.5万/月";"2"
128;"PLM系统运维工程师";"重庆百立丰科技有限公司";"0.8-1万/月";"1"
129;"IT运维";"深圳市富润德供应链管理有限公司";"6-8千/月";"1"
130;"运维工程师";"浪潮集团数字媒体事业部";"1-1.5万/月";"2"
131;"网络运维工程师";"南京绛门信息科技股份有限公司";"1-1.5万/月";"若干"
132;"运维工程师-半刻";"深圳前海大数金融服务有限公司";"1-1.5万/月";"1"
133;"运维经理";"深圳市摩尔城商业管理有限公司";"1-2万/月";"1"
134;"运维工程师（IT）";"盛业集团";"1-1.5万/月";"1"
135;"Linux系统运维工程师";"北京源晨动力技术服务有限公司";"5.5-7.5千/月";"若干"
136;"运维开发工程师";"武汉市烽视威科技有限公司";"0.6-1.5万/月";"1"
137;"运维工程师";"西安交大长天软件股份有限公司";"5-8千/月";"若干"
138;"网络运维工程师";"深圳市兴天下科技有限公司";"5-7千/月";"1"
139;"资深运维工程师";"深圳习习网络科技有限公司";"1-2万/月";"1"
140;"高级运维工程师（应用运维方向）";"深圳萨摩耶互联网金融服务有限公司";"1.5-2.5万/月";"若干"
141;"急招数据运维助理工程师";"深圳市智力信息技术服务有限公司";"6-8千/月";"5"
142;"客服专员（偏运维）";"深圳市博安达信息技术股份有限公司";"4.5-6千/月";"1"
143;"运维开发工程师（深圳南山）";"海南高灯科技有限公司";"1-2万/月";"1"
144;"系统运维工程师";"深圳票联金融服务有限公司";"0.6-1万/月";"1"
145;"Linux运维工程师";"深圳眼神智能科技有限公司";"4-5千/月";"3"
146;"应用系统运维工程师";"深圳市合正房地产集团有限公司";"1-1.5万/月";"1"
147;"数据库运维（熟悉 sql server）";"深圳市丛文科技有限公司";"0.8-1.8万/月";"若干"
148;"高级运维工程师";"广东来艾健康科技有限公司";"1.3-2.3万/月";"若干"
149;"Linux运维工程师";"深圳市华士精成科技有限公司";"0.8-1.3万/月";"1"
150;"运维工程师";"深圳达普信科技有限公司";"0.7-1.1万/月";"3"
151;"IT运维/技术支持/ERP实施顾问";"爱克发感光器材（深圳）有限公司";"15-30万/年";"1"
152;"IT工程师/网络运维（龙岗坪地）";"深圳市裕同包装科技股份有限公司";"0.7-1万/月";"1"
153;"IDC运维工程师（上海）";"深圳市锐科信息技术有限公司";"4-6千/月";"5"
154;"招商运维";"广州欣茂信息科技有限公司";"5-6千/月";"1"
155;"IT技术支持/IT运维服务驻场工程师 -深圳";"北京天港惠达科技有限公司";"4-4.9千/月";"3"
156;"中高级运维工程师";"上海绰瑞资产管理有限公司";"1-2万/月";"1"
157;"运维工程师";"深圳爱华国际教育科技有限公司";"7-9千/月";"2"
158;"Linux运维工程师";"深圳市华馨智能科技有限公司";"0.6-1.2万/月";"5"
159;"服务器运维工程师";"深圳市驱动人生科技股份有限公司";"0.6-1万/月";"1"
160;"系统运维工程师";"深圳前海一点科技有限公司";"0.8-1.3万/月";"4"
161;"运维工程师";"深圳市咚咚金服信息科技有限公司";"1-2万/月";"1"
162;"Windows运维工程师";"万宝盛华企业管理咨询（上海）有限公司";"1.5-2万/月";"若干"
163;"运维工程师";"深圳无境创新科技有限公司";"0.8-1万/月";"若干"
164;"运维项目经理";"深圳市筑泰防务智能科技有限公司";"1-1.5万/月";"若干"
165;"运维工程师";"深圳易博科金融工程系统有限公司";"6-8千/月";"若干"
166;"运维工程师";"深圳市劲拓自动化设备股份有限公司";"0.5-2万/月";"2"
167;"急招+高薪  实施运维工程师";"深圳市意众智能科技有限责任公司";"0.6-1.5万/月";"3"
168;"数据系统运维专员";"深圳奥萨医药有限公司";"4.5-6.5千/月";"2"
169;"Linux运维工程师";"深圳市笨鸟软件有限公司";"5-8千/月";"1"
170;"全国运维总监";"深圳市联软科技股份有限公司";"20-30万/年";"1"
171;"运维工程师";"深圳市前海美联科技有限公司";"0.8-1.5万/月";"1"
172;"中高级运维工程师";"深圳市华阳悦客科技发展有限公司";"1.5-2万/月";"若干"
173;"桌面运维 工程师";"深圳市商道元信息技术有限公司";"5.5-6.5千/月";"2"
174;"信息技术部-系统运维岗";"银泰证券有限责任公司";"10-15万/年";"1"
175;"运维工程师";"深圳市思为软件技术有限公司";"1-1.5万/月";"1"
176;"SAP运维工程师";"深圳市金活医药有限公司";"1.5-2万/月";"1"
177;"系统运维工程师";"深圳市微筑科技有限公司";"1-1.6万/月";"1"
178;"技术支持/系统运维工程师";"上海美嘉林软件科技股份有限公司";"0.5-1万/月";"1"
179;"IT系统工程师(运维)";"深圳朗特智能控制股份有限公司";"0.7-1万/月";"若干"
180;"运维工程师";"深圳市番趣互动娱乐有限公司";"0.8-1.6万/月";"若干"
181;"系统运维工程师";"深圳市你我金融信息服务有限公司";"1.3-2.5万/月";"1"
182;"运维经理";"深圳市思考乐教育集团";"1.5-1.7万/月";"1"
183;"运维工程师";"深圳市汇合发展有限公司";"0.6-1万/月";"1"
184;"运维工程师";"深圳市掌娱炫动信息技术有限公司";"0.6-1.2万/月";"1"
185;"IT运维工程师(职位编号：071)";"深圳爱康国宾医院管理有限公司";"4.5-6千/月";"1"
186;"运维工程师";"丰益（上海）信息技术有限公司";"6-8千/月";"若干"
187;"运维工程师";"深圳市芸生医疗器械有限公司";"1-2万/月";"1"
188;"高级系统运维工程师";"深圳市网心科技有限公司";"2-3.5万/月";"1"
189;"运维工程师";"达维信息技术（深圳）有限公司";"1-1.5万/月";"2"
