"id";"jobs";"firms";"salary";"nums0"
1;"项目运维管理";"上海碧晨国中能源工程有限公司";"4.5-6千/月";"4"
2;"系统运维工程师";"环迅通科技（北京）有限公司";"1-1.5万/月";"3"
3;"运维工程师";"陕西怡迪影视文化传媒有限公司";"5-8千/月";"3"
4;"特聘燃气发电机组运维人员+五险";"西安神舟航空动力装备有限公司";"3-4.5千/月";"5"
5;"资深互联网运维工程师";"武汉有戏网络科技有限公司";"2-4万/月";"5"
6;"网络运维助理";"西安优理克商务信息咨询有限公司";"3-4千/月";"1"
7;"现场运维工程师";"西安商鼎能源科技有限公司";"3-4千/月";"2"
8;"Linux运维工程师";"陕西迪博佰通教育科技有限公司";"4.5-6千/月";"2"
9;"IT运维管理工程师";"中通服科信信息技术有限公司";"3-4.5千/月";"1"
10;"运维工程师";"航天星图科技（北京）有限公司";"0.8-1万/月";"1"
11;"桌面运维工程师（西安）(J10174)";"广东鸿联九五信息产业有限公司";"3-4千/月";"1"
12;"运维工程师";"西安鼎研科技股份有限公司";"3-4.5千/月";"10"
13;"电力信息系统运维工程师";"西安腾营信息科技有限公司";"4.5-6千/月";"1"
14;"运维工程师";"西安和智方企业管理咨询有限公司";"0.5-1万/月";"2"
15;"日本工作签证bpo系统运维管理";"大连日协教育信息咨询有限公司";"1-1.5万/月";"30"
16;"网络运维总监（装饰装修）";"陕西开业大吉商业空间设计有限公司";"0.8-1万/月";"1"
17;"大数据运维";"南京烽火星空通信发展有限公司";"1-2万/月";"2"
18;"运维工程师";"陕西惠宾电子科技有限公司";"3-4.5千/月";"2"
19;"运维工程师";"深圳汇思诺科技有限公司";"0.5-1万/月";"若干"
20;"网络运维工程师";"西安国际医学中心有限公司";"0.7-1万/月";"1"
21;"网络运维工程师";"西安求实人才培训中心";"4.5-6千/月";"5"
22;"运维工程师";"深圳市坐标软件开发有限公司";"1-1.5万/月";"2"
23;"Linux/UNIX运维工程师";"三星数据系统（西安）有限公司";"6-8千/月";"10"
24;"PeopleSoft运维工程师";"和利时集团--西安和利时";"0.7-1万/月";"若干"
25;"运维工程师";"科升通讯（苏州）有限公司";"5-7千/月";"2"
26;"高铁运维员";"陕西华欧网络科技有限公司";"6-8千/月";"10"
27;"运维工程师";"宝鸡吉利发动机零部件有限公司";"0.5-1万/月";"1"
28;"系统运维工程师";"西安景兆信息科技有限公司";"0.8-1万/月";"2"
29;"系统运维工程师";"上海泰然投资控股有限公司";"1-2万/月";"2"
30;"桌面运维工程师";"陕西亿杰鑫信息技术有限公司";"2.8-3.5千/月";"1"
