id,jobs,firms,salary,nums0
4,Linux开发工程师（qt）,西安九州艾维航空科技有限公司,0.8-1万/月,若干
6,Qt C++/ Qt QML开发工程师,上海亿凯信息技术有限公司,10-11万/年,若干
12,C/C++研发工程师,北京关键科技股份有限公司,0.5-1万/月,若干
14,嵌入式设计工程师,希尔思仪表（深圳）有限公司,1-1.5万/月,若干
18,C++/C#开发工程师,上海今日信息科技有限公司,0.5-1.5万/月,若干
25,嵌入式人机交互开发工程师(智慧出入口)(职位编号：uniview001882),浙江宇视科技有限公司,0.6-1.2万/月,若干
26,上位机软件工程师,西安迅湃快速充电技术有限公司,4.5-9千/月,若干
28,C++,西安欧鹏信息技术有限公司,0.6-1万/月,若干
30,C++开发工程师,无锡市同芯恒通科技有限公司,4-8千/月,若干
38,C/C++开发工程师,浙江大华技术股份有限公司,1-2万/月,若干
40,C++研发工程师(职位编号：014),西安兴汇电力科技有限公司,0.8-2万/月,若干
43,C/C++高级开发工程师,西安三茗科技股份有限公司,0.8-1.5万/月,若干
44,TM&CS-嵌入式软件工程师（西安）(职位编号：vertiv000543),维谛技术有限公司,0.6-1.2万/月,若干
53,Linux开发工程师,北京倍胜智能科技有限公司,0.6-1.2万/月,若干
56,C++开发工程师,和利时集团--西安和利时,0.9-1.2万/月,若干
59,网络主播,北京热度文化传媒有限公司西安分公司,0.4-1万/月,若干
60,Software Engineer软件工程师,西电通用电气自动化有限公司,1-1.5万/月,若干
70,C++高级开发工程师,广联达科技股份有限公司,1-2万/月,若干
75,C++软件开发工程师,西安盈谷网络科技有限公司,0.8-1.4万/月,若干
88,软件开发高级经理,比亚迪精密制造有限公司,2.8-4.2万/月,若干
95,嵌入式软件开发工程师(智能速通门)(职位编号：uniview001275),浙江宇视科技有限公司,0.7-1.2万/月,若干
98,嵌入式软件开发工程师(智能速通门)(职位编号：uniview001275),浙江宇视科技有限公司,0.7-1.2万/月,若干
99,C++软件开发工程师(海外与分销)(职位编号：uniview000963),浙江宇视科技有限公司,0.7-1.2万/月,若干
102,C++开发工程师,西安海讯科技发展有限公司,0.8-1.5万/月,若干
106,C++软件开发,新拓三维技术（深圳）有限公司,3-4.5千/月,若干
108,高级软件工程师,和利时集团--西安和利时,0.9-1.3万/月,若干
118,C++软件开发工程师,一诺仪器（中国）有限公司,1-1.5万/月,若干
119,高级C++开发工程师(005859)(职位编号：glodon005859),广联达科技股份有限公司,1.5-2万/月,若干
120,三维图形学研发工程师,西安知象光电科技有限公司,15-25万/年,若干
42,C/C++软件开发工程师,南瑞集团有限公司,0.8-1.6万/月,30
16,C++软件开发工程师,西安寰宇卫星测控与数据应用有限公司,0.8-1.4万/月,20
92,软件开发工程师（嵌入式）,西安翔迅科技有限责任公司,0.8-1.3万/月,15
97,C/C++软件开发工程师(平台类)(职位编号：uniview001205),浙江宇视科技有限公司,0.6-1.2万/月,14
31,软件工程师,陕西俊采星驰软件有限公司,0.5-1.5万/月,10
32,软件开发工程师（C/C++）,珠海市鸿瑞信息技术股份有限公司,0.5-1万/月,10
64,嵌入式软件工程师,西安特锐德智能充电科技有限公司,1-1.5万/月,10
81,C++开发工程师（控制系统）,北京亚控科技发展有限公司,12-16万/年,10
101,嵌入式软件工程师,陕西俊采星驰软件有限公司,0.5-1.5万/月,10
50,C++软件开发工程师,美格智能西安研究所,0.8-1.5万/月,8
1,QT开发工程师,西安海讯科技发展有限公司,0.8-2万/月,6
5,Qt/C++软件开发工程师,西安北斗安全技术有限公司,0.8-1万/月,5
9,QT开发工程师,上海艾飞能源科技有限公司,0.6-1万/月,5
10,C++/Qt 开发工程师,西安速度时空大数据科技有限公司,0.8-1.2万/月,5
61,C++开发工程师,深圳天源迪科信息技术股份有限公司北京办事处,0.6-1.1万/月,5
94,软件开发工程师,西安八阵图电子科技有限公司,6-8千/月,5
54,C++初级工程师,西安基石睿盛信息技术有限公司,6-8千/月,4
93,软件工程师,西安天隆科技有限公司,6-8千/月,4
103,软件工程师-XA-XT-007,深圳奥比中光科技有限公司,0.7-1.5万/月,4
107,C++开发工程师,西安基石睿盛信息技术有限公司,0.8-1.5万/月,4
19,软件测试工程师,西安翔迅科技有限责任公司,5-9千/月,3
23,软件工程师,西安八阵图电子科技有限公司,0.8-1.5万/月,3
29,软件工程师,西安市双合软件技术有限公司,4-8千/月,3
68,DICOM影像工程师,太极计算机股份有限公司,1-2万/月,3
80,c++软件工程师,北京中科戎大科技股份有限公司,0.6-1.5万/月,3
84,图形开发工程师,西安增材制造国家研究院有限公司,0.7-1.4万/月,3
89,VC++开发工程师,北京北信源软件股份有限公司,6-8千/月,3
90,Windows C++工程师,西安翔迅科技有限责任公司,0.7-1.2万/月,3
91,应用软件开发工程师,西安翔迅科技有限责任公司,0.9-1.5万/月,3
112,中级软件工程师(职位编号：FC-S-M.A),江苏锐天信息科技有限公司西安分公司,0.8-1.2万/月,3
113,C++中级软件工程师,江苏锐天信息科技有限公司西安分公司,0.8-1.1万/月,3
122,软件开发工程师(职位编号：201802),西安泛华科技开发有限公司,4.5-7.5千/月,3
124,软件开发工程师,西安增材制造国家研究院有限公司,0.6-1.2万/月,3
2,QT、C++开发工程师,西安帝和电子科技有限公司,0.8-1万/月,2
3,QT,陕西九鼎通信技术有限公司,0.8-1.5万/月,2
7,QT开发工程师,深圳市德卡科技股份有限公司,3.5-6.5千/月,2
11,QT开发工程师(职位编号：201801),西安泛华科技开发有限公司,4.5-8千/月,2
13,C/C++高级开发工程师,北京北信源软件股份有限公司,0.8-1万/月,2
17,电子产品开发工程师,西安鸣士机电开发有限公司,0.8-1万/月,2
20,C++软件工程师,西安天隆科技有限公司,0.7-1.6万/月,2
22,软件工程师(Windows平台、C#/C++方向) 西安,深圳市中电电力技术股份有限公司,0.8-1.6万/月,2
24,网络安全软件工程师,西安西电捷通无线网络通信股份有限公司,5-9千/月,2
27,软件开发工程师（C++）,陕西浦思金融网络科技有限公司,0.8-1万/月,2
35,嵌入式软件工程师,西安合谱声学科技有限公司,1-1.5万/月,2
37,软件开发工程师,西安华创人力资源管理咨询有限公司,2-4万/月,2
41,电气研发工程师,陕西小溪机电科技有限公司,0.6-1万/月,2
46,嵌入式软件研发工程师,陕西中泓正实业有限公司,0.6-1万/月,2
48,培训讲师,陕西百年健康药业有限公司,0.4-1万/月,2
52,初级软件工程师,新拓三维技术（深圳）有限公司,4-8千/月,2
55,C++高级开发工程师,上海天跃科技股份有限公司,1.5-2万/月,2
57,C++工程师 (工业智能机器）,陕西恒通智能机器有限公司,0.6-1.2万/月,2
62,软件工程师,西安威尔格德能源技术有限公司,4-8千/月,2
63,C++/C#软件开发工程师,北京优诺信创科技有限公司,0.6-1万/月,2
65,软件工程师,西安象德信息技术有限公司,4-8千/月,2
66,C++高级软件工程师,江苏锐天信息科技有限公司西安分公司,1.2-1.6万/月,2
