"id";"jobs";"firms";"salary";"nums"
1;"Java开发工程师";"西安英兆软件信息有限责任公司";"4.5-8千/月";"681"
2;"日语翻译-奢侈品店导购";"普森瑞科人力资源咨询（重庆）有限公司";"1-1.5万/月";"11"
3;"日语营业担当-手机通信商品販売";"普森瑞科人力资源咨询（重庆）有限公司";"1-1.5万/月";"9"
4;"日本大型免税店招募正社员";"重庆兴贤出国咨询服务有限公司";"1-1.5万/月";"5"
5;"日本奢侈品专卖店古琦、普拉达、LV翻译人员";"重庆兴贤出国咨询服务有限公司";"1.2-1.5万/月";"8"
6;"日本工签——温泉酒店前台接待年收15万左右）";"大连新翔教育咨询有限公司";"1-1.5万/月";"15"
7;"对日IOS软件工程师";"大连维思创新科技有限公司";"1.5-3万/月";"14"
8;"JINS眼镜导购/储备干部/加工/验光 （西安印象城）";"睛姿商贸（上海）有限公司";"2-4千/月";"13"
9;"JINS眼镜导购/储备干部/加工/验光 （西安鑫苑大都汇）";"睛姿商贸（上海）有限公司";"2-4千/月";"5"
10;"日语翻译/日语销售/日语外贸/日语文案/日语老师";"辽宁政通对外劳务经济合作有限公司";"1-1.5万/月";"13"
11;"IT公司营业（日语必须）";"辽宁政通对外劳务经济合作有限公司";"1-1.5万/月";"16"
12;"日本工签/电信公司/温泉酒店/免税店/专场招聘会";"辽宁政通对外劳务经济合作有限公司";"1-1.5万/月";"14"
13;"日语机械/电气设计人才";"辽宁语嫣商务信息咨询有限公司";"0.8-1万/月";"23"
14;"日语/日语翻译/日本/电器店/温泉酒店/机场";"辽宁语嫣商务信息咨询有限公司";"1-1.5万/月";"21"
15;"IOS开发工程师 长期出差";"西安未都网络科技有限公司";"1-3万/月";"22"
16;"PHP软件工程师（高级）";"西安英兆软件信息有限责任公司";"0.6-1.2万/月";"45"
17;"PHP软件工程师";"西安英兆软件信息有限责任公司";"4-6千/月";"53"
18;"日本医美客服";"西安英兆软件信息有限责任公司";"4-5千/月";"7"
19;"日本医美助理";"西安英兆软件信息有限责任公司";"4-5千/月";"9"
20;"高薪聘请日语翻译  双休";"西安英兆软件信息有限责任公司";"4-5千/月";"7"
21;"课程销售";"北京美扩教育咨询有限公司";"4-7千/月";"18"
22;"咨询顾问";"北京美扩教育咨询有限公司";"4-7千/月";"10"
23;"日语翻译(softbank电信公司)";"辽宁政通对外劳务经济合作有限公司";"1-1.5万/月";"18"
24;"箱根/伊豆名温泉酒店前台（日语必须）";"辽宁政通对外劳务经济合作有限公司";"1-1.5万/月";"13"
25;"大阪市内免税店奢侈品日语销售";"辽宁政通对外劳务经济合作有限公司";"1-1.5万/月";"10"
26;"l日语专业赴日本工作/免税店/奢侈品/酒店/翻译担当";"辽宁政通对外劳务经济合作有限公司";"1-1.5万/月";"16"
27;"高薪诚聘免税店销售代表";"大连新翔教育咨询有限公司";"1.5-2千/月";"1"
28;"日语翻译-SK2化粧品販売";"普森瑞科人力资源咨询（重庆）有限公司";"1-1.5万/月";"7"
29;"日企服务岗位实习";"西安艾德凯森教育信息咨询服务有限公司";"0.8-1万/月";"12"
30;"J-Field集团线上对外汉语教师";"西安交大国际汉语教师西北考试中心";"30元/小时";"76"
31;"东京SK-II香奈儿化妆品店销售";"重庆兴贤出国咨询服务有限公司";"1-1.5万/月";"20"
32;"日本就职规划师";"沈阳政通佳益教育咨询有限公司";"4-6千/月";"6"
33;"日本工签   日语营业担当";"大连新翔教育咨询有限公司";"0.8-1万/月";"3"
34;"对日软件开发工程师（JAVA/.NET)-OCA";"上海新致软件股份有限公司";" ";"45"
35;"烘焙课程顾问";"ABC Cooking Studio";"0.4-1万/月";"37"
36;"日本工作签—免税店店员，年收18万左右";"大连新翔教育咨询有限公司";"1-1.5万/月";"5"
37;"日本工签    日语营业担当";"大连新翔教育咨询有限公司";"1.5-2万/月";"17"
38;"JINS眼镜导购（西安各大店铺）";"睛姿商贸（上海）有限公司";"2-3千/月";"26"
39;"日语网络工程师（会日语，网络零基础也可以）";"创译科技（大连）有限公司";"1.3-3万/月";"33"
40;"日语翻译日本就职工作签证";"大连日协教育信息咨询有限公司";"0.8-1万/月";"8"
41;"日本各地大型连锁酒店、温泉酒店";"辽宁语嫣商务信息咨询有限公司";"1-1.5万/月";"14"
42;"Java开发工程师";"江苏润和软件股份有限公司";"0.6-1.5万/月";"68"
43;"Android开发工程师 长期出差";"西安未都网络科技有限公司";"1-3万/月";"40"
44;"日本工作签证--综合销售岗位";"大连新翔教育咨询有限公司";"0.8-1.3万/月";"9"
45;"文案策划";"北京美扩教育咨询有限公司";"3.5-6千/月";"10"
46;"咨询顾问";"西安英兆软件信息有限责任公司";"4-5千/月";"6"
47;"赴日java软件开发工程师";"大连维思创新科技有限公司";"1.5-3万/月";"57"
48;"赴日日语/日本酒店/免税店/翻译/营业/跟单/外贸";"辽宁政通对外劳务经济合作有限公司";"1-1.5万/月";"15"
49;"日本工作签证bpo系统运维管理";"大连日协教育信息咨询有限公司";"1-1.5万/月";"13"
50;"手机APP开发工程师";"陕西诚泰科技讯息有限责任公司";"6-8千/月";"13"
51;"Web后端工程师";"杉树岭网络科技有限公司";"1.5千以下/月";"8"
52;"Android开发工程师";"陕西诚泰科技讯息有限责任公司";"0.7-1.2万/月";"35"
53;"Python开发工程师";"上海云首信息科技有限公司";"1.5-2万/月";"78"
54;"JAVA软件开发工程师";"陕西浦思金融网络科技有限公司";"0.8-1万/月";"111"
55;"高级PHP开发工程师";"陕西晟运通科技有限公司";"1.5-2.5万/月";"26"
56;"java软件工程师(001432)";"中科创达新产品事业部";"1-1.5万/月";"129"
57;"Web后端开发工程师";"一诺仪器（中国）有限公司";"0.8-1万/月";"32"
58;"WEB后端开发工程师";"西安墨科通讯科技有限公司";"0.6-1万/月";"27"
59;"高级web后端工程师";"北京轩宇信息技术有限公司";"0.6-1.2万/月";"41"
60;"Web后端工程师";"深圳市中易腾达科技股份有限公司";"0.8-1万/月";"57"
61;"爬虫开发工程师";"西安图道信息科技有限公司";"6-8千/月";"77"
62;"前端开发人员（西安）";"中电长城网际系统应用有限公司";"0.8-1万/月";"53"
63;"金融云服务工程师-A05";"赞同科技股份有限公司";"6-8千/月";"14"
64;"初级软件质量工程师";"西安奥卡云数据科技有限公司";"0.8-1万/月";"58"
65;"自动化软件开发工程师";"西安蜂语信息科技有限公司";"0.7-1.2万/月";"15"
66;"云安全研究员(J11525)";"绿盟科技";"1.3-2万/月";"9"
67;"大数据开发工程师";"东华软件股份公司";"0.8-1.4万/月";"23"
68;"图像算法工程师";"西安盈谷网络科技有限公司";"0.6-1.2万/月";"41"
69;"软件测试工程师";"瑞斯康达科技发展股份有限公司";"6-8千/月";"347"
70;"后台网站工程师";"瑞斯康达科技发展股份有限公司";"6-8千/月";"38"
71;"Linux c开发工程师";"江苏润和软件股份有限公司";"1-1.5万/月";"49"
72;"Software engineer";"苏州联讯仪器有限公司";"0.6-1万/月";"38"
73;"软件测试工程师（通信传输设备）";"烽火通信科技股份有限公司";"15-20万/年";"221"
74;"系统集成测试工程师";"西安兴汇电力科技有限公司";"0.6-1.5万/月";"209"
75;"软件技术支持工程师";"西安点通软件信息技术有限公司";"4-6千/月";"62"
76;"软件咨询顾问";"西安点通软件信息技术有限公司";"4-6千/月";"3"
77;"手机fota研发工程师(001487)";"中科创达软件股份有限公司";" ";"15"
78;"手机系统测试";"北京湛腾世纪科技有限公司";"6-8千/月";"71"
79;"软件开发（GA-T-20180514-002W）";"太极计算机股份有限公司";"5-9千/月";"16"
80;"CAE二次开发工程师";"上海奥锐波客软件技术有限公司";"0.7-1万/月";"28"
81;"软件测试工程师";"陕西译喵网络科技有限公司";"4-8千/月";"216"
82;"算法工程师";"西安银信博锐信息科技有限公司";"4.5-6千/月";"12"
83;"数据工程师（LT13whx）";"北京东方国信科技股份有限公司";"0.5-1万/月";"28"
84;"手机fota研发工程师(001487)";"中科创达新产品事业部";"1-1.5万/月";"13"
85;"IT运维开发工程师";"中通服科信信息技术有限公司";"6-8千/月";"68"
